country,n_responses
DEU,14
BEL,11
NLD,5
GBR,5
ITA,4
FRA,4
JPN,3
ESP,3
TUR,2
ROU,2
KOR,2
TWN,1
SWE,1
RUS,1
HRV,1
FIN,1
DNK,1
CZE,1
CHE,1
BRA,1
AUT,1
