country,n_responses
BEL,62
FRA,29
DEU,29
ITA,11
FIN,10
POL,9
SWE,8
ESP,8
CZE,6
AUT,6
NLD,5
GBR,5
USA,3
UKR,3
RUS,3
NOR,3
LUX,3
IRL,3
MNE,2
HUN,2
ZAF,1
TUR,1
SVK,1
ROU,1
PRT,1
MLT,1
KOR,1
KEN,1
JPN,1
GRC,1
ECU,1
CHE,1
BIH,1
BGR,1
